                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.76742,                 0.3411,                0.91106,                0.97516,                0.95184,                0.96626,                0.70228,                0.99816,                0.36501,                  1.042,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     89,                0.76591,                0.33863,                 0.9124,                0.97415,                0.95199,                0.96555,                0.70214,                0.99537,                0.36587,                 1.0416,             8.6688e-05,             8.6688e-05,             8.6688e-05
                     90,                  0.763,                0.33963,                0.91265,                0.97378,                0.95099,                0.96536,                0.70155,                 0.9948,                0.36463,                 1.0425,               8.05e-05,               8.05e-05,               8.05e-05
                     91,                0.73394,                0.28783,                0.93409,                 0.9731,                0.95174,                0.96519,                0.70108,                0.99692,                0.36462,                 1.0428,             7.4312e-05,             7.4312e-05,             7.4312e-05
                     92,                0.72593,                 0.2855,                0.92576,                0.97381,                0.95047,                0.96436,                0.69935,                 0.9972,                0.36783,                 1.0425,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     93,                0.71886,                0.28152,                0.92474,                0.97235,                0.95029,                0.96386,                0.69929,                0.99767,                0.36618,                 1.0448,             6.1937e-05,             6.1937e-05,             6.1937e-05
                     94,                0.71852,                0.28063,                0.92363,                0.97298,                0.95059,                 0.9644,                 0.7004,                0.99772,                0.36541,                 1.0452,              5.575e-05,              5.575e-05,              5.575e-05
                     95,                0.71509,                0.27997,                0.92362,                0.97296,                0.95023,                0.96448,                0.70056,                0.99847,                0.36573,                 1.0459,             4.9562e-05,             4.9562e-05,             4.9562e-05
                     96,                0.70625,                0.27759,                0.91922,                0.97389,                0.94987,                0.96479,                0.70102,                0.99861,                0.36393,                 1.0464,             4.3375e-05,             4.3375e-05,             4.3375e-05
                     97,                0.70477,                0.27601,                0.91805,                0.97344,                0.95024,                0.96474,                0.70148,                0.99985,                0.36424,                 1.0483,             3.7188e-05,             3.7188e-05,             3.7188e-05
                     98,                0.70129,                0.27416,                0.92193,                0.97406,                0.94916,                0.96488,                0.70162,                 1.0012,                0.36517,                 1.0489,                3.1e-05,                3.1e-05,                3.1e-05
                     99,                0.69894,                0.27267,                0.91813,                0.97484,                0.94866,                0.96476,                0.70212,                 1.0014,                0.36543,                 1.0493,             2.4813e-05,             2.4813e-05,             2.4813e-05
                    100,                0.69702,                0.27269,                0.91559,                0.97251,                0.95182,                 0.9649,                0.70195,                 1.0027,                0.36585,                 1.0495,             1.8625e-05,             1.8625e-05,             1.8625e-05
