               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 111,            0.025389,            0.043783,           0.0057087,              0.9722,             0.95262,             0.95332,             0.67731,            0.027978,            0.057728,            0.005389,             0.00637,             0.00637,             0.00637
                 112,            0.024837,             0.04191,           0.0054749,             0.97391,              0.9527,              0.9543,             0.67803,            0.027986,            0.057722,           0.0052333,            0.006337,            0.006337,            0.006337
                 113,             0.02494,            0.042789,            0.005445,             0.97421,             0.95318,             0.95457,             0.67831,            0.028049,            0.057727,           0.0051717,            0.006304,            0.006304,            0.006304
                 114,            0.025326,            0.043088,           0.0055234,             0.97539,             0.95305,             0.95438,              0.6782,            0.028048,             0.05786,           0.0052229,            0.006271,            0.006271,            0.006271
                 115,             0.02486,            0.041934,           0.0055518,             0.97539,             0.95341,             0.95535,             0.67905,            0.027999,            0.057898,           0.0052276,            0.006238,            0.006238,            0.006238
                 116,            0.024869,             0.04189,           0.0057541,             0.97564,             0.95312,             0.95573,             0.68061,            0.027855,            0.057803,           0.0052525,            0.006205,            0.006205,            0.006205
                 117,            0.024958,            0.041865,           0.0055322,             0.97469,             0.95248,             0.95535,             0.68107,            0.027757,            0.057654,           0.0052564,            0.006172,            0.006172,            0.006172
                 118,            0.024812,            0.042154,           0.0053963,             0.97366,             0.95343,             0.95441,             0.67957,             0.02785,            0.057926,           0.0052783,            0.006139,            0.006139,            0.006139
                 119,            0.024528,            0.040949,           0.0054168,             0.97396,             0.95242,             0.95422,             0.68013,            0.027936,            0.057993,           0.0052625,            0.006106,            0.006106,            0.006106
                 120,            0.024938,            0.042369,           0.0056868,             0.97424,             0.95241,             0.95393,             0.68102,            0.027935,            0.058082,             0.00533,            0.006073,            0.006073,            0.006073
                 121,            0.024744,            0.042359,           0.0052422,             0.97479,             0.95277,             0.95382,             0.67986,             0.02792,            0.058174,           0.0053097,             0.00604,             0.00604,             0.00604
                 122,            0.024518,            0.041848,           0.0053638,             0.97542,             0.95147,             0.95307,             0.67961,            0.027982,            0.058206,           0.0054369,            0.006007,            0.006007,            0.006007
                 123,            0.024451,            0.040773,           0.0054137,             0.97566,             0.95118,             0.95283,             0.67907,            0.027936,            0.058292,           0.0055496,            0.005974,            0.005974,            0.005974
                 124,            0.024789,            0.041727,           0.0053865,             0.97599,             0.95156,             0.95345,             0.67857,            0.027983,            0.058162,           0.0054887,            0.005941,            0.005941,            0.005941
                 125,            0.024561,            0.041222,           0.0053526,             0.97466,             0.95061,              0.9529,             0.67876,            0.027948,            0.058154,           0.0054882,            0.005908,            0.005908,            0.005908
                 126,            0.024427,            0.041921,           0.0052729,             0.97419,             0.95108,             0.95253,             0.67851,            0.027941,            0.058237,           0.0055176,            0.005875,            0.005875,            0.005875
                 127,            0.024517,            0.041941,           0.0053663,             0.97462,             0.95056,             0.95272,             0.67942,            0.027941,            0.058184,           0.0054471,            0.005842,            0.005842,            0.005842
                 128,             0.02448,             0.04138,           0.0051292,             0.97379,             0.95088,             0.95333,             0.67946,            0.027918,            0.058139,           0.0054388,            0.005809,            0.005809,            0.005809
                 129,             0.02433,             0.04085,           0.0053064,             0.97416,             0.95101,             0.95342,             0.67995,            0.027906,            0.058171,           0.0053497,            0.005776,            0.005776,            0.005776
                 130,            0.024385,            0.041278,            0.005172,             0.97358,             0.95208,             0.95327,             0.67989,            0.027871,            0.058162,            0.005302,            0.005743,            0.005743,            0.005743
                 131,            0.024309,            0.041588,           0.0052863,             0.97461,             0.95216,             0.95378,             0.67994,            0.027901,            0.058202,           0.0052883,             0.00571,             0.00571,             0.00571
                 132,            0.024033,            0.041033,           0.0050955,             0.97442,             0.95313,             0.95385,             0.67956,            0.027968,            0.058287,           0.0052716,            0.005677,            0.005677,            0.005677
                 133,            0.024455,            0.041311,           0.0052253,             0.97486,             0.95236,             0.95298,             0.67877,            0.028004,            0.058379,           0.0052829,            0.005644,            0.005644,            0.005644
                 134,            0.024111,            0.040465,           0.0051844,              0.9744,             0.95286,             0.95305,             0.67857,            0.028018,            0.058454,           0.0052843,            0.005611,            0.005611,            0.005611
                 135,            0.024079,            0.041401,           0.0051688,             0.97558,             0.95113,             0.95277,             0.67901,            0.028002,            0.058482,           0.0052424,            0.005578,            0.005578,            0.005578
                 136,            0.023904,            0.040826,           0.0050765,             0.97511,             0.95209,             0.95324,             0.67939,            0.027984,            0.058499,           0.0051697,            0.005545,            0.005545,            0.005545
                 137,            0.024321,             0.04189,           0.0050235,              0.9753,             0.95177,             0.95371,             0.67871,            0.027975,            0.058535,            0.005167,            0.005512,            0.005512,            0.005512
                 138,            0.024189,            0.041607,           0.0051317,             0.97549,             0.95203,             0.95369,             0.67882,             0.02797,            0.058579,           0.0051913,            0.005479,            0.005479,            0.005479
                 139,            0.023788,            0.040508,           0.0050832,             0.97553,             0.95225,             0.95367,             0.67887,            0.028003,            0.058627,           0.0051935,            0.005446,            0.005446,            0.005446
                 140,              0.0242,            0.040752,           0.0050773,             0.97536,             0.95233,             0.95345,             0.67877,            0.028013,            0.058681,           0.0052035,            0.005413,            0.005413,            0.005413
                 141,            0.024158,            0.040036,           0.0050212,             0.97554,             0.95223,             0.95336,             0.67875,            0.028005,            0.058717,            0.005221,             0.00538,             0.00538,             0.00538
                 142,            0.023764,             0.04103,           0.0048075,             0.97526,             0.95208,             0.95327,             0.67902,            0.028003,            0.058748,           0.0051728,            0.005347,            0.005347,            0.005347
                 143,            0.023943,            0.041486,           0.0051645,             0.97556,             0.95166,             0.95324,             0.67895,            0.028005,            0.058738,           0.0051467,            0.005314,            0.005314,            0.005314
                 144,             0.02369,            0.039675,           0.0048721,             0.97497,             0.95235,             0.95356,             0.67918,            0.028015,            0.058757,           0.0051312,            0.005281,            0.005281,            0.005281
                 145,            0.023922,            0.040051,           0.0048435,             0.97466,             0.95255,             0.95334,             0.67899,            0.028011,            0.058776,           0.0050963,            0.005248,            0.005248,            0.005248
                 146,            0.023921,            0.040238,           0.0049695,             0.97493,              0.9526,              0.9534,             0.67892,            0.027998,            0.058773,           0.0050925,            0.005215,            0.005215,            0.005215
                 147,            0.023753,            0.040353,            0.004838,             0.97495,             0.95223,             0.95321,             0.67876,            0.028011,            0.058807,           0.0051283,            0.005182,            0.005182,            0.005182
                 148,            0.023811,             0.04099,           0.0047115,             0.97558,             0.95108,             0.95303,             0.67876,            0.028013,            0.058863,           0.0051511,            0.005149,            0.005149,            0.005149
                 149,            0.023688,            0.040497,           0.0048869,             0.97608,             0.95108,             0.95249,             0.67827,            0.028018,            0.058935,            0.005151,            0.005116,            0.005116,            0.005116
                 150,            0.023647,            0.039871,           0.0048441,             0.97544,             0.95126,             0.95251,              0.6783,            0.028037,            0.058975,           0.0051525,            0.005083,            0.005083,            0.005083
                 151,            0.023658,            0.040629,           0.0049806,              0.9754,             0.95132,              0.9525,             0.67798,             0.02805,             0.05897,           0.0051264,             0.00505,             0.00505,             0.00505
                 152,            0.023542,            0.039967,           0.0046725,             0.97534,             0.95173,             0.95252,             0.67762,            0.028068,            0.059005,            0.005131,            0.005017,            0.005017,            0.005017
                 153,             0.02359,            0.040323,           0.0048206,             0.97558,             0.95183,              0.9524,             0.67705,            0.028077,            0.059046,           0.0051454,            0.004984,            0.004984,            0.004984
                 154,            0.023473,            0.040878,           0.0046877,               0.976,             0.95221,             0.95244,             0.67769,            0.028084,            0.059073,           0.0051695,            0.004951,            0.004951,            0.004951
                 155,            0.023417,            0.039481,           0.0047528,             0.97602,             0.95164,             0.95235,             0.67744,            0.028093,            0.059101,            0.005184,            0.004918,            0.004918,            0.004918
                 156,             0.02349,            0.040301,           0.0048761,             0.97558,             0.95241,             0.95216,             0.67701,              0.0281,            0.059158,           0.0051939,            0.004885,            0.004885,            0.004885
                 157,            0.023238,            0.040706,           0.0046266,             0.97527,             0.95265,             0.95205,             0.67685,            0.028109,            0.059207,           0.0052069,            0.004852,            0.004852,            0.004852
                 158,            0.023273,            0.040024,           0.0047072,             0.97503,             0.95275,             0.95225,             0.67691,            0.028103,             0.05924,           0.0052231,            0.004819,            0.004819,            0.004819
                 159,            0.023325,            0.039589,           0.0048272,             0.97485,             0.95242,             0.95223,              0.6766,            0.028116,            0.059232,           0.0052352,            0.004786,            0.004786,            0.004786
